order_id,order_date,customer_id,product_id,region,sales_amount,quantity,discount
1107,2023-03-22,C1640,P435,east,405.27,1,0.0
1108,2023-08-15,C1726,P225,Wst,912.87,2,0.05
1109,2022-05-12,C1374,P375,West,703.06,3,0.0
1110,2024-06-10,C1561,P388,SOUTH,953.69,4,0.0
1111,2023-07-29,C1508,P422,WEST,520.02,5,0.2
1112,2023-01-23,C1117,P481,EAST,-861.98,5,0.2
1113,,,P349,south,180.2,1,0.05
1114,2023-04-18,C1952,P477,SOUTH,613.37,2,0.1
1115,2035-01-01,C1910,P428,east,695.14,5,0.05
1116,2022-04-02,C1015,P213,North,372.98,1,0.1
1117,2023-11-02,C1036,P322,West,640.23,5,0.05
1118,2022-07-02,C1194,P389,South,-980.73,3,0.2
1119,2022-06-03,C1991,P382,South,606.56,1,0.05
1120,2023-04-26,C1391,P300,WEST,144.22,3,0.0
1121,2022-11-19,C1881,P225,SOUTH,153.14,1,0.15
1122,2023-08-17,C2059,P459,South,587.96,4,0.15
1123,2022-08-10,C1884,P332,South,953.5,4,0.2
1124,2023-05-18,C1250,P443,NORTH,582.6,2,0.05
1125,2023-08-10,C1068,P456,WEST,994.25,2,0.2
1126,2024-01-21,C2154,P352,East,316.27,1,0.0
1127,2022-03-05,C2083,P486,west,80.9,1,0.1
1128,2023-01-28,C1571,P470,south,187.01,3,0.05
1129,2022-03-18,C2058,P278,North,727.71,1,0.2
1130,2023-12-23,C1161,P462,WEST,131.9,3,0.1
1131,2023-05-16,C1392,P215,SOUTH,698.64,2,0.05
1132,2022-02-02,C1904,P264,EAST,649.25,3,0.1
1133,2023-10-27,C1250,P497,NORTH,713.35,5,0.05
1134,2022-04-25,C2013,P393,East,979.83,3,0.1
1135,2022-05-18,C1615,P295,NORTH,925.98,4,0.05
1136,2023-09-13,C1480,P415,south,730.75,1,0.05
1137,2022-08-16,C1722,P432,East,606.09,3,0.1
1138,2024-03-12,C1706,P378,Wst,92.99,2,0.1
1139,2023-05-13,C2131,P363,east,283.09,2,0.0
1140,2024-05-28,C1847,P406,East,776.95,2,0.2
1141,2022-11-24,C1095,P377,east,254.51,1,0.1
1142,2022-12-12,C1461,P324,Wst,664.89,5,0.0
1143,2022-03-17,C1698,P381,NORTH,332.53,2,0.15
1144,2022-06-02,C1345,P274,East,680.81,5,0.2
1145,2023-12-22,C1861,P291,NORTH,882.94,1,0.0
1146,2022-05-16,C1767,P488,west,473.11,2,0.15
1147,2022-04-03,,P311,SOUTH,833.62,3,0.0
1148,,C1351,P368,SOUTH,367.73,2,0.15
1149,2023-10-16,C1455,P384,EAST,251.8,5,0.0
1150,2023-08-09,C1190,P369,south,381.68,1,0.05
1151,2022-02-04,C1803,P219,WEST,661.07,4,0.15
1152,2023-12-18,C1587,P478,NORTH,189.51,2,0.1
1153,2022-03-04,C2092,P327,NORTH,696.73,3,0.2
1154,2024-03-23,C1693,P318,South,746.98,5,0.0
1155,2022-05-27,C2079,P414,South,129.52,4,0.1
1156,2022-03-05,C1583,P495,east,588.71,1,0.2
1157,2023-03-17,C2177,P450,NORTH,314.39,5,0.15
1158,2024-03-24,C1254,P432,East,-600.41,2,0.0
1159,2023-10-16,C1881,P407,Wst,913.52,3,0.0
1160,2023-08-20,C1123,P421,South,426.02,3,0.05
1161,2024-02-28,C1316,P411,north,217.77,1,0.0
1162,2022-02-06,C1114,P489,South,835.85,2,0.05
1163,2022-07-20,C1187,P220,north,523.72,2,0.0
1164,2024-02-14,,P322,South,81.69,2,1.5
1165,2023-09-23,C1469,P235,north,644.66,5,0.2
1166,2023-03-30,C1445,P345,EAST,654.41,4,0.15
1167,2022-11-05,C1773,P320,south,504.11,1,0.05
1168,2024-02-03,C2056,P241,North,395.56,3,0.05
1169,2024-01-22,C1596,P380,NORTH,673.51,2,0.2
1170,2022-01-13,C1112,P436,Wst,780.47,4,0.15
1171,2022-08-17,C1359,P477,south,988.48,3,0.1
1172,,C1585,P257,west,102.88,2,0.1
1173,2023-01-02,C1472,P439,SOUTH,195.29,3,0.0
1174,2022-09-06,C1276,P282,South,215.9,3,0.0
1175,2022-09-03,C1041,P248,south,826.4,5,0.1
1176,,C1361,P403,south,740.42,1,0.2
1177,2023-05-23,C1432,P435,East,707.65,3,0.2
1178,2024-02-02,C1162,P203,south,365.54,3,0.1
1179,2023-09-27,,P223,East,739.43,4,0.2
1180,2022-05-15,C1585,P413,east,236.31,1,0.05
1181,2023-06-06,C1888,P383,south,805.66,3,0.15
1182,2023-02-07,C1478,P375,south,678.12,4,0.2
1183,2022-01-24,C2116,P223,East,76.14,2,0.0
1184,2024-03-16,C1247,P411,SOUTH,680.81,5,0.2
1185,2023-09-26,C2069,P352,north,236.16,3,0.0
1186,2024-03-05,C2077,P417,SOUTH,-239.97,4,0.1
1187,2022-01-24,C2127,P447,South,909.59,4,0.1
1188,2023-05-01,C1940,P392,South,817.88,2,0.2
1189,2022-06-06,C1753,P392,west,714.59,3,0.05
1190,2022-04-30,C1410,P233,West,398.78,5,0.0
1191,2023-12-16,,P366,South,62.62,4,0.15
1192,2023-03-12,C1983,P353,East,770.69,2,0.2
1193,2024-02-27,C1194,P357,West,410.9,4,0.0
1194,2023-05-04,,P206,south,344.26,4,0.05
1195,2022-10-18,C1798,P471,West,675.44,5,0.0
1196,2022-11-07,C1637,P376,Wst,855.37,1,0.0
1197,2023-10-14,C1725,P384,south,73.03,2,0.1
1198,2022-05-24,C1570,P390,EAST,752.59,3,0.05
1199,2022-01-02,C1275,P454,South,499.25,1,1.5
1200,2024-03-04,C1086,P292,east,835.54,5,0.2
1201,2022-07-02,C1146,P335,East,713.52,1,0.2
1202,2024-06-02,C1873,P415,East,552.05,4,0.1
1203,2023-02-28,C2142,P477,east,869.04,2,0.15
1204,2022-01-02,C2123,P348,EAST,242.48,4,0.15
1205,2022-07-01,C2041,P436,EAST,235.06,2,0.0
1206,2022-04-10,C1106,P261,south,714.66,1,0.2
1207,2023-11-17,C1612,P394,south,333.45,2,0.2
1208,2022-05-31,C1359,P428,Wst,165.75,2,0.2
1209,2023-09-12,C2066,P449,SOUTH,488.83,2,0.05
1210,2023-11-04,C1335,P408,NORTH,268.38,5,0.05
1211,2023-12-18,C1083,P432,south,273.05,4,0.0
1212,2023-07-12,C2196,P472,north,700.88,4,0.15
1213,2022-12-13,C1550,P271,WEST,418.05,2,0.1
1214,2024-04-22,C1753,P302,WEST,249.76,5,0.2
1215,2022-06-13,C1801,P342,west,772.19,1,0.05
1216,2022-05-04,C1398,P468,NORTH,283.87,3,0.0
1217,,C1525,P423,North,259.96,3,0.2
1218,2023-06-09,C1510,P406,west,319.34,4,0.05
1219,2022-08-28,C1038,P376,South,217.64,1,0.15
1220,2023-05-15,C1991,P490,South,100.01,4,0.15
1221,2022-07-05,C1824,P460,Wst,373.06,4,0.15
1222,2023-12-07,C1988,P235,East,944.2,2,0.05
1223,2023-04-18,C1679,P247,NORTH,819.89,3,0.05
1224,2022-10-01,C1163,P304,east,513.11,3,0.1
1225,2023-01-10,C1788,P424,NORTH,906.06,5,0.15
1226,2023-12-03,C1650,P495,west,61.03,1,0.05
1227,2024-04-04,C2098,P394,West,757.26,5,0.1
1228,2023-03-14,C1282,P266,NORTH,628.29,2,0.05
1229,2024-05-31,C1084,P390,East,253.58,3,0.1
1230,2023-01-21,C1454,P351,north,66.74,3,0.0
1231,2023-04-15,C2103,P247,North,611.21,2,0.0
1232,2023-05-27,C2165,P259,North,428.63,5,0.05
1233,2022-05-25,C1966,P303,South,934.57,1,0.2
1234,2022-06-24,,P458,SOUTH,752.5,4,0.0
1235,2023-09-14,C1306,P478,South,363.53,1,0.05
1236,2023-05-15,C1795,P302,east,902.05,5,0.1
1237,2023-03-13,C1870,P388,west,236.21,2,0.1
1238,2024-01-18,C1698,P358,North,326.07,2,0.1
1239,2022-10-25,C1831,P248,WEST,771.08,5,1.5
1240,2022-10-01,C1079,P205,EAST,320.49,4,0.0
1241,,C1350,P392,South,910.74,1,0.2
1242,2022-05-20,C1199,P303,North,628.32,4,0.1
1243,2022-12-07,C1100,P459,east,83.64,2,0.05
1244,2024-01-19,C2138,P275,Wst,674.35,4,0.05
1245,2023-12-28,C1587,P320,north,264.22,3,0.15
1246,2022-09-19,C1896,P455,NORTH,344.49,5,0.2
1247,2024-05-24,C1161,P291,East,403.14,1,0.15
1248,2024-03-28,C1528,P247,west,907.82,3,0.15
1249,2024-06-14,C1904,P298,WEST,409.29,2,0.05
1250,2023-05-31,C1605,P310,east,351.79,1,0.2
1251,2023-09-20,C2114,P429,NORTH,81.85,2,0.15
1252,2022-04-01,C1446,P226,south,263.44,4,0.15
1253,2022-11-05,C1855,P495,west,505.4,4,0.2
1254,2022-04-22,C2138,P415,NORTH,850.84,5,0.15
1255,2023-03-14,C2175,P492,Wst,293.02,5,1.5
1256,2024-05-07,C1153,P233,North,832.0,5,0.0
1257,2023-01-30,C1725,P463,East,333.51,3,0.0
1258,2023-06-08,C2118,P469,South,337.15,4,0.1
1259,2023-07-10,C1257,P245,SOUTH,59.73,4,0.15
1260,2023-03-09,C1029,P424,east,478.34,5,0.2
1261,2024-01-23,C1606,P203,NORTH,110.91,4,0.0
1262,,C1776,P491,north,193.77,5,1.5
1263,,C1405,P373,EAST,405.64,4,0.2
1264,2024-03-04,C1296,P290,north,508.53,5,0.05
1265,2022-01-20,C1341,P228,North,875.67,4,0.1
1266,2023-11-28,C1431,P303,WEST,282.8,3,0.05
1267,2022-06-06,C1727,P310,East,493.81,1,0.1
1268,2023-11-07,C1369,P348,East,890.46,2,0.1
1269,2023-08-13,C1084,P428,Wst,76.64,3,1.5
1270,2023-02-20,C1670,P461,South,95.6,5,0.0
1271,2023-11-10,C2022,P207,north,491.46,3,0.05
1272,2023-11-27,C1075,P269,North,805.87,4,0.15
1273,2023-04-12,C2055,P268,north,682.06,4,0.0
1274,2023-04-11,C1124,P236,NORTH,490.7,1,0.15
1275,2022-04-25,C1787,P427,east,-607.56,2,0.2
1276,2023-05-13,C1754,P485,NORTH,608.0,1,0.15
1277,2023-06-02,C1613,P291,North,800.01,3,0.05
1278,2022-05-15,C1851,P210,north,931.63,2,0.1
1279,2022-03-29,C1938,P323,north,352.75,4,0.0
1280,2022-06-05,C2023,P417,West,547.55,4,0.0
1281,2023-04-14,C1832,P471,NORTH,84.58,5,0.2
1282,2023-10-05,C1983,P434,SOUTH,307.23,5,0.2
1283,2035-01-01,C1186,P222,east,957.13,3,0.15
1284,2022-01-09,C1365,P437,North,911.2,4,0.05
1285,2024-05-09,C1126,P312,WEST,920.09,4,0.15
1286,2023-05-12,C1371,P231,North,664.29,5,0.15
1287,2022-04-08,C1882,P222,east,86.19,2,0.0
1288,2022-04-08,C1842,P365,north,527.69,3,0.1
1289,2022-10-12,C1530,P249,north,396.05,4,0.1
1290,2023-02-19,C1086,P448,NORTH,280.05,4,0.0
1291,2023-01-05,C1953,P299,West,263.64,4,0.2
1292,2024-01-22,C1830,P469,Wst,715.19,4,0.05
1293,2023-06-19,C2060,P329,north,375.16,5,0.05
1294,2023-01-20,,P349,SOUTH,171.16,4,0.0
1295,2024-03-09,C2190,P448,south,886.43,2,0.1
1296,2024-03-15,C1722,P226,East,204.53,5,0.05
1297,2023-01-14,C1505,P475,SOUTH,614.32,5,0.0
1298,2022-12-26,C1327,P287,South,201.78,2,0.0
1299,2022-03-03,C1313,P496,WEST,255.42,1,0.15
1300,2022-11-17,C1673,P287,EAST,696.11,3,0.1
1301,2023-02-17,C1635,P229,NORTH,227.76,3,0.2
1302,2022-06-24,C1587,P325,North,549.53,1,0.15
1303,2022-08-18,C2118,P486,South,51.29,5,0.2
1304,2024-01-18,,P294,NORTH,214.66,1,0.1
1305,2023-07-02,C1477,P385,west,469.85,1,0.05
1306,2023-02-09,C1459,P457,east,794.13,4,0.1
1307,2023-03-10,C2013,P431,North,461.13,1,0.2
1308,,C1821,P350,west,868.63,2,0.1
1309,2022-08-12,C1838,P232,West,537.42,2,0.2
1310,2023-06-21,C2038,P257,NORTH,99999.0,3,0.15
1311,2022-05-24,C1370,P283,South,790.62,2,0.15
1312,2023-04-04,C1260,P359,EAST,358.36,4,1.5
1313,2024-06-02,C1155,P200,east,226.53,4,0.15
1314,2023-11-03,C1709,P238,WEST,611.02,5,0.2
1315,2022-08-01,C1954,P479,Wst,829.14,5,0.0
1316,2023-09-10,C1755,P404,east,182.99,2,0.15
1317,2022-09-27,C1827,P425,SOUTH,405.17,1,0.05
1318,2023-11-06,C1029,P367,South,551.16,2,0.1
1319,2023-11-11,C1806,P393,south,638.38,3,0.1
1320,2024-01-02,C1744,P474,north,899.68,3,0.05
1321,2024-04-13,C1307,P254,East,699.58,5,0.1
1322,2023-05-27,C2141,P282,south,233.78,4,0.05
1323,2022-10-27,C1410,P319,North,872.95,1,0.0
1324,2023-10-13,C1117,P253,EAST,506.32,2,0.15
1325,2023-01-01,C1494,P283,South,295.25,1,0.2
1326,2023-12-18,C1676,P448,North,99999.0,5,0.2
1327,2022-09-17,C1452,P312,north,155.03,5,0.15
1328,2023-05-29,C1165,P309,EAST,77.48,3,0.1
1329,2023-05-20,C2112,P298,east,66.16,5,0.1
1330,2023-02-25,C1850,P472,WEST,711.51,5,0.2
1331,2024-02-27,C1917,P281,north,569.27,3,0.05
1332,2023-01-03,C1661,P229,south,357.69,4,0.1
1333,2024-03-25,C1772,P416,North,700.28,4,0.05
1334,2022-08-06,C1178,P222,NORTH,498.24,2,0.05
1335,2024-01-02,C1352,P201,Wst,331.3,1,0.1
1336,2023-02-08,C1894,P286,NORTH,690.15,5,0.15
1337,2023-07-08,C2076,P476,west,801.38,4,0.0
1338,2035-01-01,C1462,P385,South,-448.34,3,0.1
1339,2024-05-18,C2135,P270,west,719.86,3,0.15
1340,2022-12-15,C1538,P213,NORTH,681.16,1,0.2
1341,2023-04-25,,P465,EAST,966.79,2,0.05
1342,2023-03-20,C1570,P290,West,472.29,2,0.2
1343,2022-10-17,C1947,P276,south,402.86,1,0.2
1344,2023-04-08,C1199,P338,SOUTH,275.84,5,0.0
1345,2023-08-13,C1798,P427,east,843.92,3,0.2
1346,2023-12-26,C2143,P314,south,972.7,1,0.0
1347,2022-03-08,C1585,P364,South,990.43,3,0.0
1348,2024-01-27,C1841,P317,EAST,65.47,3,0.2
1349,,C2078,P258,WEST,277.88,1,0.0
1350,2023-01-28,C1624,P433,SOUTH,965.8,4,0.15
1351,2023-05-01,C2036,P301,north,894.42,1,0.05
1352,2022-08-28,C1656,P391,North,563.12,3,0.0
1353,2022-07-26,C1903,P390,East,475.07,2,0.05
1354,2024-03-06,C1160,P404,west,739.57,3,0.2
1355,2023-03-31,C2029,P419,West,99999.0,3,0.1
1356,2024-03-06,C1837,P461,east,911.11,3,0.15
1357,2023-08-07,C1440,P385,EAST,960.2,3,0.2
1358,2024-01-24,C1321,P476,SOUTH,99999.0,4,0.2
1359,2022-05-10,C2082,P271,West,618.38,4,0.05
1360,2023-04-25,C1555,P422,SOUTH,66.86,1,0.0
1361,2024-02-01,C1735,P365,West,329.77,5,0.15
1362,2022-05-11,C1678,P309,East,896.96,2,0.0
1363,2022-11-05,C1678,P390,west,763.15,3,0.2
1364,2023-02-17,C1736,P452,EAST,935.9,5,0.05
1365,2023-04-06,C1685,P378,North,953.08,3,0.05
1366,2022-04-10,C1642,P360,EAST,367.27,5,0.05
1367,2022-12-25,C1284,P289,SOUTH,783.64,3,0.0
1368,2022-01-05,C1894,P233,north,537.45,2,0.15
1369,2024-05-21,C1564,P212,SOUTH,444.11,5,0.0
1370,2023-11-14,C1035,P401,EAST,392.76,4,0.15
1371,2023-07-15,C1755,P319,West,908.83,3,0.05
1372,2024-05-29,C1896,P353,EAST,56.13,4,0.05
1373,2023-03-07,C1904,P220,west,50.91,5,0.0
1374,2022-03-26,C1820,P319,South,304.38,1,0.05
1375,2023-10-28,C2089,P296,east,629.22,1,0.2
1376,2024-05-30,C1407,P455,WEST,357.44,4,0.15
1377,2023-08-03,C1584,P420,north,269.18,1,0.1
1378,2022-02-15,C1625,P494,Wst,636.0,5,0.1
1379,2022-08-20,C2184,P291,South,783.11,5,0.0
1380,2023-05-06,C1966,P423,Wst,958.93,2,0.15
1381,2024-01-15,C1855,P463,north,738.48,3,0.2
1382,2022-07-14,C1023,P429,north,440.56,2,0.15
1383,2024-03-05,C1188,P462,south,56.68,4,0.2
1384,2022-02-05,C1788,P257,south,-293.89,5,0.1
1385,2022-03-04,C1946,P356,North,-345.25,5,0.15
1386,2022-04-02,C1422,P493,West,990.25,4,0.0
1387,2023-12-16,C1252,P336,North,263.8,1,0.15
1388,2035-01-01,C1075,P255,West,272.97,2,0.05
1389,2023-05-18,C1640,P222,south,50.48,1,0.15
1390,2023-06-30,C1018,P346,south,936.37,2,0.1
1391,2023-03-13,C1727,P316,SOUTH,908.76,1,0.15
1392,2023-08-18,C1001,P360,North,665.42,4,0.15
1393,2022-07-16,C1484,P248,East,99999.0,5,0.05
1394,2023-11-02,C1907,P242,SOUTH,62.76,3,0.05
1395,2023-04-17,C1823,P299,South,856.45,3,0.15
1396,2022-09-01,C1641,P298,SOUTH,145.09,5,0.0
1397,2023-10-06,C1130,P351,WEST,119.85,5,0.15
1398,2023-08-24,C1814,P231,east,506.97,5,0.0
1399,2022-10-24,C1591,P480,south,667.89,3,0.05
1400,2023-11-22,C1343,P349,east,826.94,4,0.2
1401,2023-02-20,C1730,P462,West,687.25,2,0.0
1402,2022-04-19,C2156,P220,North,903.19,1,0.0
1403,2024-03-14,C2075,P477,east,-734.41,4,0.05
1404,2022-10-05,C1439,P369,west,775.43,1,0.0
1405,2022-06-23,,P395,East,984.25,2,0.1
1406,2022-04-10,C1518,P460,Wst,231.88,1,0.1
1407,2022-06-13,C2023,P336,south,346.47,3,0.1
1408,2023-11-06,C1001,P210,south,560.3,5,0.0
1409,2022-05-28,C1923,P359,EAST,311.0,1,0.15
1410,2022-01-07,C2000,P368,South,198.64,2,0.0
1411,2035-01-01,C1814,P307,SOUTH,128.24,1,1.5
1412,2023-08-27,C1586,P373,SOUTH,470.74,1,0.1
1413,,C1856,P498,East,650.37,4,0.1
1414,2024-03-26,C1367,P231,Wst,328.91,2,0.2
1415,2022-10-29,C1063,P349,SOUTH,811.97,3,0.1
1416,2022-05-03,C1227,P395,south,394.72,3,0.15
1417,2023-10-14,C1872,P264,South,111.95,3,0.05
1418,2023-01-05,C1686,P256,EAST,113.48,1,0.0
1419,2023-11-02,C1351,P372,NORTH,747.84,1,0.1
1420,2022-09-01,C1582,P322,South,369.74,2,0.2
1421,2022-07-31,,P253,WEST,513.32,1,0.15
1422,2022-07-12,C1047,P378,North,735.45,1,0.15
1423,2023-08-22,C2067,P392,north,158.72,4,0.05
1424,2022-08-17,C1262,P309,north,171.29,1,0.1
1425,2023-12-28,C1493,P244,East,763.8,4,0.1
1426,2022-09-23,C1314,P257,SOUTH,544.71,2,0.05
1427,2022-09-10,C1527,P282,west,740.28,3,0.15
1428,2022-08-24,C1392,P315,South,229.26,5,0.0
1429,2023-03-16,C1230,P220,east,887.45,3,0.2
1430,2023-12-09,C1234,P263,EAST,676.17,5,0.15
1431,2023-09-28,C1027,P233,NORTH,867.86,2,0.0
1432,2024-02-08,C1460,P450,east,447.36,2,0.0
1433,2023-08-14,C2056,P316,west,524.48,2,0.2
1434,2023-01-22,C1067,P265,South,456.88,3,0.0
1435,2022-03-16,C1724,P387,North,157.96,1,0.2
1436,2024-05-11,C1951,P245,south,545.05,2,0.0
1437,2022-03-02,C1507,P310,north,859.32,4,0.0
1438,2023-12-13,C1525,P380,South,883.83,3,0.0
1439,2022-10-03,C1858,P213,SOUTH,84.69,5,0.05
1440,2023-05-29,C2103,P382,West,187.88,4,0.05
1441,2023-08-09,C1686,P379,East,187.72,1,0.15
1442,2023-10-16,C2065,P385,SOUTH,441.44,2,1.5
1443,,C1916,P326,south,480.68,2,0.2
1444,2023-03-01,C1969,P446,east,904.79,1,0.15
1445,2023-06-29,C1375,P260,Wst,834.44,1,0.1
1446,2023-07-02,C2157,P492,North,429.65,4,0.2
1447,2024-02-22,C1770,P426,Wst,91.48,3,0.1
1448,2024-01-09,C1499,P366,North,331.71,4,0.05
1449,2022-08-17,C1747,P294,NORTH,762.29,4,0.0
1450,2023-09-21,C1122,P376,Wst,855.06,4,0.1
1451,2022-07-05,C1750,P425,West,566.95,5,0.15
1452,2022-10-27,C1670,P489,East,378.93,5,0.0
1453,2022-12-10,C1719,P363,north,502.56,2,0.2
1454,2023-03-19,C1179,P233,WEST,794.51,3,0.1
1455,2024-04-21,C1004,P273,WEST,849.23,2,0.2
1456,2023-01-05,C2192,P305,SOUTH,138.19,3,0.05
1457,,C1869,P445,North,127.6,4,0.15
1458,2023-09-06,C1703,P370,west,478.72,4,0.15
1459,,C2106,P262,East,597.1,4,0.15
1460,2024-01-10,C1440,P263,West,466.73,3,0.0
1461,2023-11-26,C1220,P357,West,537.46,4,0.05
1462,2023-03-02,C1421,P241,north,654.26,4,0.1
1463,2023-10-04,C1133,P477,SOUTH,341.53,3,0.05
1464,2023-10-02,C1102,P261,EAST,219.22,4,0.1
1465,2023-11-11,C1856,P268,SOUTH,188.2,3,0.1
1466,2024-02-25,C1710,P305,East,797.27,1,0.1
1467,2023-10-02,C1399,P461,south,908.28,4,0.15
